Secteur,Ville,Boite de vitesses,Type de carburant,Marque,Modele,Nombre de portes,Origine,Premiere main,Puissance fiscale,Etat,log_price (en milliers MAD),Kilometrage lisse (en milliers km),Age (annees)
malabata,tanger,Automatique,Diesel,bmw,série 3,5,WW au Maroc,True,8,Très bon,5.393627546352362,154.07825882419246,7
errahma,casablanca,Manuelle,Essence,seat,ibiza,5,WW au Maroc,True,4,Très bon,4.68213122712422,88.33981615414564,8
centre,kénitra,Manuelle,Diesel,mercedes-benz,Others,5,Dédouanée,False,8,Excellent,5.521460917862246,228.1213612908587,8
administratif,tanger,Automatique,Hybride,toyota,corolla,5,WW au Maroc,False,8,Très bon,5.393627546352362,35.42744956632371,4
autre secteur,agadir,Automatique,Diesel,skoda,octavia,5,WW au Maroc,True,8,Excellent,5.147494476813453,184.21716755263432,9
amal,el jadida,Manuelle,Diesel,nissan,qashqai,5,WW au Maroc,False,6,Excellent,5.153291594497779,123.36492520561362,8
route de ceuta,tétouan,Manuelle,Essence,ford,ka,3,WW au Maroc,False,7,Très bon,4.219507705176107,87.39576687516295,16
ain sebaa,casablanca,Manuelle,Diesel,alfa romeo,giulietta,5,WW au Maroc,False,6,Excellent,4.997212273764115,111.07783205181747,4
route de ceuta,tétouan,Manuelle,Diesel,audi,q5,5,WW au Maroc,True,8,Excellent,5.181783550292085,228.12722681872728,11
hay massira,agadir,Manuelle,Diesel,volkswagen,golf 6,5,WW au Maroc,True,6,Bon,4.605170185988092,190.9522014733001,14
autre secteur,nador,Manuelle,Diesel,volkswagen,passat,5,Dédouanée,True,6,Très bon,4.852030263919617,229.3184380392276,12
toute la ville,tifelt,Manuelle,Diesel,ford,focus,5,WW au Maroc,True,6,Excellent,4.727387818712341,270.64491623170596,13
bouargane,agadir,Manuelle,Diesel,peugeot,2008,5,WW au Maroc,True,6,Très bon,4.976733742420574,80.38122974030699,7
toute la ville,ksar el-kebir,Automatique,Diesel,volkswagen,touran,5,Dédouanée,True,8,Très bon,4.990432586778736,6.349248383636876,15
autre secteur,casablanca,Manuelle,Diesel,renault,express,5,WW au Maroc,False,6,Excellent,5.123963979403259,69.8028669127222,2
route de ceuta,tétouan,Automatique,Diesel,volkswagen,tiguan,5,WW au Maroc,True,8,Excellent,5.3230099791384085,189.51716048468427,11
hay moulay rachid,casablanca,Manuelle,Diesel,fiat,palio,5,WW au Maroc,True,6,Bon,3.4657359027997265,221.22939068884503,25
toute la ville,Others,Automatique,Diesel,hyundai,i40,5,WW au Maroc,True,7,Très bon,4.787491742782046,227.10349943622845,12
hassan,rabat,Manuelle,Diesel,peugeot,508,5,WW au Maroc,True,6,Très bon,5.075173815233827,186.0575750070277,6
2 mars,casablanca,Automatique,Diesel,hyundai,i30,5,WW au Maroc,False,6,Excellent,5.147494476813453,160.27521105039963,4
abdelmoumen,casablanca,Manuelle,Diesel,Others,Others,3,WW au Maroc,False,6,Excellent,4.77912349311153,79.53028277759051,3
el bassatine,meknès,Automatique,Essence,bmw,x3,5,WW au Maroc,True,14,Excellent,4.56954300834494,128.1208507997219,18
autre secteur,casablanca,Manuelle,Diesel,skoda,octavia,5,WW au Maroc,False,8,Excellent,5.247024072160486,104.08094966192522,7
m'hamid,marrakech,Manuelle,Essence,kia,picanto,5,WW au Maroc,False,5,Très bon,4.672828834461906,57.894080080380085,4
ain el hayani,tanger,Automatique,Diesel,seat,ateca,5,WW au Maroc,True,8,Excellent,5.652489180268651,137.68041913456614,5
sidi moumen,casablanca,Manuelle,Diesel,renault,megane,5,WW au Maroc,True,6,Bon,4.700480365792417,227.20169456245597,10
abdelmoumen,casablanca,Manuelle,Diesel,fiat,fiorino,5,WW au Maroc,False,6,Excellent,4.770684624465665,73.99868354314671,3
autre secteur,temara,Manuelle,Diesel,renault,kangoo,5,WW au Maroc,True,6,Très bon,4.770684624465665,127.04671453914786,8
autre secteur,agadir,Manuelle,Diesel,skoda,octavia,5,WW au Maroc,True,8,Excellent,5.181783550292085,130.97916380979353,7
