Secteur,Ville,Boite de vitesses,Type de carburant,Marque,Modele,Nombre de portes,Origine,Premiere main,Puissance fiscale,Etat,log_price (en milliers MAD),Kilometrage lisse (en milliers km),Age (annees)
Others,mohammedia,Automatique,Diesel,land rover,range rover vogue,5,WW au Maroc,False,12,Excellent,5.703782474656201,228.69357136446376,12
Others,safi,Manuelle,Electrique,ford,fiesta,5,WW au Maroc,True,6,Bon,4.007333185232471,15.117787697734945,18
sidi maarouf,casablanca,Manuelle,Diesel,honda,jazz,5,WW au Maroc,True,8,Excellent,3.9889840465642745,9.437775560792828,18
toute la ville,tifelt,Manuelle,Diesel,hyundai,accent,5,WW au Maroc,True,8,Très bon,4.174387269895637,95.83060471189185,19
Others,safi,Manuelle,Diesel,renault,clio,5,WW au Maroc,False,6,Excellent,4.672828834461906,153.36728151017874,6
sidi moumen,casablanca,Manuelle,Diesel,renault,kangoo,5,WW au Maroc,True,7,Très bon,4.248495242049359,162.03653741412813,14
ouled oujih,kénitra,Manuelle,Essence,peugeot,206,5,WW au Maroc,True,6,Excellent,3.8066624897703196,110.44969402199511,22
aïn chock,casablanca,Automatique,Diesel,jaguar,xe,5,WW au Maroc,False,8,Excellent,5.3471075307174685,121.99369036436214,9
hamria,meknès,Manuelle,Diesel,peugeot,407,5,WW au Maroc,False,8,Très bon,4.007333185232471,226.55377005524568,20
autre secteur,nador,Manuelle,Diesel,mercedes-benz,220,5,Dédouanée,False,9,Très bon,4.382014134595756,220.0374490777109,27
bab sebta,salé,Manuelle,Diesel,fiat,uno,5,WW au Maroc,True,7,Très bon,3.258096538021482,229.78179887641014,28
autre secteur,kénitra,Automatique,Diesel,volkswagen,passat,5,WW au Maroc,True,8,Très bon,5.220355825078324,163.34753240208545,9
route ain chkaf,fès,Manuelle,Diesel,opel,astra,5,WW au Maroc,True,6,Bon,3.970291913552122,274.4179700784732,22
toute la ville,dar bouazza,Manuelle,Diesel,dacia,logan,5,WW au Maroc,True,6,Très bon,4.653960350157523,87.7944874709069,6
oulfa,casablanca,Automatique,Diesel,jeep,cherokee,5,WW au Maroc,True,9,Excellent,5.3706380281276624,95.53084055882087,6
sidi bernoussi,casablanca,Manuelle,Diesel,renault,kangoo,5,WW au Maroc,True,5,Bon,3.9889840465642745,41.402803593188054,20
toute la ville,ouarzazate,Manuelle,Diesel,fiat,punto,5,Dédouanée,True,5,Bon,4.219507705176107,152.1875146789171,11
aarid,nador,Automatique,Diesel,mercedes-benz,220,5,Dédouanée,True,9,Excellent,4.844187086458591,16.39888866027175,17
sbata,casablanca,Manuelle,Diesel,nissan,qashqai,5,WW au Maroc,False,6,Excellent,5.153291594497779,93.1169894794144,8
ain atig,temara,Manuelle,Diesel,dacia,logan,5,WW au Maroc,True,6,Très bon,4.553876891600541,4.769588972814816,11
sidi moumen,casablanca,Manuelle,Diesel,dacia,logan,5,Dédouanée,False,6,Excellent,4.04305126783455,3.713894330398484,18
ain sebaa,casablanca,Manuelle,Diesel,dacia,logan,5,WW au Maroc,False,6,Excellent,4.382026634673881,141.62127207444308,7
californie,casablanca,Automatique,Diesel,jaguar,xe,5,WW au Maroc,False,8,Excellent,5.480638923341991,110.0886731570699,9
sidi bernoussi,casablanca,Manuelle,Diesel,dacia,dokker,5,WW au Maroc,False,6,Excellent,4.553876891600541,324.19268072030974,11
ben m'sick,casablanca,Automatique,Diesel,nissan,Others,5,WW au Maroc,True,10,Excellent,4.700480365792417,185.05769218556787,16
aïn chock,casablanca,Automatique,Diesel,audi,a4,5,WW au Maroc,False,8,Très bon,5.272999558563747,197.19254181006627,8
Others,marrakech,Manuelle,Diesel,mitsubishi,pajero,3,WW au Maroc,True,11,Bon,4.553876891600541,140.32594970029658,19
abattoirs,agadir,Automatique,Essence,audi,Others,5,Dédouanée,False,8,Excellent,5.68697535633982,222.53579494981966,9
toute la ville,essaouira,Manuelle,Diesel,fiat,uno,5,WW au Maroc,True,7,Correct,2.995732273553991,173.2064059533011,26
sidi maarouf,casablanca,Manuelle,Diesel,peugeot,308,5,WW au Maroc,True,6,Excellent,4.812184355372417,145.56646251120412,10
centre ville,tanger,Automatique,Diesel,bmw,série 1,5,WW au Maroc,False,6,Excellent,5.521460917862246,109.20597823664345,5
hay lazaret,oujda,Manuelle,Diesel,citroen,xsara,5,Dédouanée,True,8,Très bon,4.143134726391533,278.55459402895866,21
targa,marrakech,Manuelle,Essence,renault,clio,5,WW au Maroc,True,7,Très bon,4.382026634673881,127.57538686197829,12
hay el fath,rabat,Manuelle,Diesel,mercedes-benz,classe c,5,WW au Maroc,True,9,Très bon,3.9512437185814275,224.1907952001506,27
route d'ourika,marrakech,Manuelle,Essence,fiat,Others,5,WW au Maroc,True,8,Bon,3.6375861597263857,225.8093224541523,13
2 mars,casablanca,Automatique,Essence,honda,cr-v,5,WW au Maroc,True,11,Très bon,3.5263605246161616,161.16341149698965,23
aviation,rabat,Manuelle,Diesel,volkswagen,tiguan,5,WW au Maroc,False,8,Excellent,5.19295685089021,109.4791775139376,10
malabata,tanger,Manuelle,Diesel,toyota,rav 4,5,WW au Maroc,False,9,Neuf,4.31748811353631,31.071324467314977,17
al boustane,el jadida,Automatique,Essence,seat,ibiza,5,WW au Maroc,True,7,Excellent,4.859812404361672,42.92026626800912,4
autre secteur,oujda,Manuelle,Essence,fiat,panda,5,WW au Maroc,True,6,Excellent,3.9889840465642745,178.43975415110202,17
Others,kénitra,Manuelle,Diesel,renault,clio,5,WW au Maroc,False,6,Excellent,4.962844630259907,80.96611690250494,5
centre,el jadida,Manuelle,Diesel,bmw,série 1,5,Dédouanée,True,8,Correct,4.382026634673881,27.53275917059645,20
route de ceuta,tétouan,Manuelle,Diesel,mercedes-benz,190,5,Dédouanée,False,8,Excellent,4.442651256490317,328.1336811063044,33
sidi bernoussi,casablanca,Manuelle,Diesel,dacia,sandero,5,WW au Maroc,False,6,Excellent,4.867534450455582,27.821313166586016,9
afaq,marrakech,Automatique,Diesel,land rover,range rover evoque,5,WW au Maroc,True,8,Excellent,5.66988092298052,92.6493128932015,8
sidi moumen,casablanca,Manuelle,Diesel,peugeot,405,5,WW au Maroc,False,7,Bon,3.091042453358316,225.7565419622562,33
autre secteur,casablanca,Manuelle,Essence,peugeot,205,5,WW au Maroc,True,6,Bon,3.1354942159291497,9.021385725482304,33
toute la ville,ben guerir,Manuelle,Diesel,renault,clio,5,WW au Maroc,True,6,Bon,3.8066624897703196,428.99660290228775,25
Others,agadir,Automatique,Diesel,volkswagen,passat cc,5,WW au Maroc,False,8,Neuf,5.1647859739235145,184.4421925667421,9
tanja balia,tanger,Manuelle,Essence,volkswagen,golf 4,5,WW au Maroc,True,8,Excellent,3.7376696182833684,23.6327749718026,27
toute la ville,béni mellal,Automatique,Diesel,audi,q5,5,Importée neuve,False,8,Neuf,5.393627546352362,192.8424882813256,11
toute la ville,béni mellal,Manuelle,Diesel,dacia,dokker,5,WW au Maroc,True,6,Excellent,4.672828834461906,168.21317259988757,7
Others,rabat,Manuelle,Diesel,hyundai,ix35,5,WW au Maroc,False,8,Excellent,4.787491742782046,173.60657185928682,13
toute la ville,khouribga,Manuelle,Essence,peugeot,207,5,WW au Maroc,True,8,Bon,4.007333185232471,197.8307259284019,17
toute la ville,Others,Manuelle,Essence,fiat,uno,5,WW au Maroc,True,6,Excellent,3.2188758248682006,171.08414300331697,29
la gironde,casablanca,Automatique,Diesel,jeep,cherokee,5,WW au Maroc,False,8,Très bon,5.19295685089021,132.4143996928261,10
azli,marrakech,Manuelle,Diesel,renault,scenic,5,WW au Maroc,False,6,Très bon,4.0943445622221,4.246994790177727,23
ben m'sick,casablanca,Manuelle,Diesel,peugeot,206,5,WW au Maroc,True,6,Bon,3.8607297110405954,375.4527517671614,22
centre ville,tétouan,Manuelle,Diesel,renault,r4,5,WW au Maroc,True,7,Très bon,4.653960350157523,223.3631818006716,10
toute la ville,ben guerir,Manuelle,Diesel,volkswagen,golf 5,5,Dédouanée,True,8,Très bon,4.276666119016055,320.99846644678087,19
centre ville,tanger,Manuelle,Essence,volkswagen,polo,5,WW au Maroc,True,6,Excellent,4.983606621708336,65.95946712570093,5
ouled arfa,kénitra,Manuelle,Diesel,fiat,palio,5,WW au Maroc,True,7,Bon,3.5263605246161616,197.74500940046272,26
toute la ville,berrechid,Automatique,Diesel,volkswagen,touareg,5,WW au Maroc,False,12,Excellent,5.220355825078324,179.88956685359514,8
yacoub el mansour,rabat,Manuelle,Diesel,volkswagen,caddy,5,WW au Maroc,False,5,Bon,4.406719247264253,180.97031427596318,19
toute la ville,laâyoune,Manuelle,Essence,hyundai,i20,5,WW au Maroc,False,7,Très bon,4.74493212836325,85.44506096010191,6
toute la ville,sidi bennour,Manuelle,Diesel,renault,clio,5,WW au Maroc,False,6,Très bon,4.787491742782046,76.40191120540474,7
sala el jadida,salé,Manuelle,Essence,daihatsu,sirion,5,WW au Maroc,True,6,Bon,3.4657359027997265,160.8436063317915,22
sidi bernoussi,casablanca,Manuelle,Diesel,nissan,qashqai,5,WW au Maroc,False,6,Excellent,5.043425116919247,143.29546678576477,10
ain sebaa,casablanca,Manuelle,Diesel,dacia,logan,5,WW au Maroc,True,6,Excellent,4.532599493153256,198.11352044339506,12
marjane,tanger,Manuelle,Diesel,ford,kuga,5,WW au Maroc,False,8,Excellent,5.030437921392435,152.4289844179091,10
maarif,casablanca,Automatique,Diesel,volkswagen,golf 8,5,WW au Maroc,False,8,Excellent,5.521460917862246,98.18916486910273,5
toute la ville,guercif,Manuelle,Diesel,citroen,berlingo,5,Dédouanée,True,7,Bon,4.248495242049359,6.181616390401992,20
marjane 2,meknès,Manuelle,Diesel,volkswagen,polo,5,WW au Maroc,True,8,Excellent,3.6635616461296463,322.40128807030453,25
sidi maarouf,casablanca,Manuelle,Essence,ford,fiesta,5,WW au Maroc,True,7,Excellent,4.290459441148391,2.5328082056667887,13
hay hassani,casablanca,Manuelle,Essence,volkswagen,polo,5,WW au Maroc,True,7,Très bon,4.31748811353631,187.83637649091494,14
sala el jadida,salé,Manuelle,Diesel,opel,corsa,5,WW au Maroc,True,6,Excellent,4.976733742420574,71.43451383229797,4
al kodia,el jadida,Automatique,Diesel,mercedes-benz,classe c,5,WW au Maroc,False,6,Excellent,5.645446897643238,149.3272138923335,6
harhoura,temara,Automatique,Diesel,bmw,série 3,5,WW au Maroc,False,8,Très bon,5.135798437050262,192.97422400447442,11
centre ville,tétouan,Manuelle,Diesel,renault,kangoo,5,WW au Maroc,False,6,Excellent,4.770684624465665,108.85114018445061,6
2 mars,casablanca,Automatique,Diesel,bmw,x1,5,WW au Maroc,False,8,Très bon,4.8283137373023015,229.949430107902,15
hay salam,agadir,Manuelle,Diesel,hyundai,i20,5,WW au Maroc,True,6,Neuf,4.867534450455582,113.03489414598096,6
Others,marrakech,Automatique,Diesel,mercedes-benz,250,3,Dédouanée,False,16,Excellent,5.438079308923196,149.1574168656623,12
sala el jadida,salé,Manuelle,Diesel,volkswagen,golf 6,5,WW au Maroc,True,6,Bon,4.700480365792417,227.31071219551455,14
toute la ville,ouarzazate,Manuelle,Diesel,volkswagen,golf 5,5,WW au Maroc,False,8,Excellent,3.8066624897703196,8.253091019067753,18
sbata,casablanca,Manuelle,Diesel,dacia,dokker,5,WW au Maroc,False,6,Très bon,4.564348191467836,170.6700311238822,6
hamria,meknès,Automatique,Essence,fiat,500,3,WW au Maroc,False,6,Très bon,4.787491742782046,6.4413207196257956,4
al maghrib al arabi,kénitra,Manuelle,Diesel,nissan,qashqai,5,WW au Maroc,False,6,Excellent,5.298317366548036,3.8933041560557986,5
Others,benslimane,Manuelle,Diesel,opel,astra,5,WW au Maroc,True,7,Très bon,4.700480365792417,194.64999006024595,12
autre secteur,el jadida,Manuelle,Diesel,dacia,logan,5,WW au Maroc,False,6,Excellent,4.990432586778736,31.224087062596357,3
centre,kénitra,Automatique,Diesel,volkswagen,arteon,5,WW au Maroc,False,8,Excellent,5.521460917862246,129.52045527399935,7
toute la ville,béni mellal,Manuelle,Diesel,dacia,sandero,5,WW au Maroc,False,6,Très bon,4.442651256490317,46.573311523112594,13
almaz,casablanca,Automatique,Diesel,mercedes-benz,classe a,5,Importée neuve,True,9,Très bon,5.298317366548036,224.04429105351167,12
oulfa,casablanca,Manuelle,Essence,peugeot,206,3,WW au Maroc,True,8,Très bon,3.6888794541139363,162.5001865027212,21
Others,ifrane,Automatique,Diesel,audi,q5,5,Dédouanée,True,8,Très bon,5.480638923341991,220.72756302326815,13
toute la ville,dakhla,Manuelle,Essence,toyota,corolla,5,WW au Maroc,True,8,Excellent,4.02535169073515,278.2212434394558,18
ain sebaa,casablanca,Manuelle,Diesel,citroen,c4,3,Dédouanée,False,6,Excellent,4.442651256490317,4.213874713520049,17
azib derai,safi,Manuelle,Diesel,ford,kuga,5,WW au Maroc,True,8,Très bon,4.812184355372417,191.38414935311246,12
hamria,meknès,Manuelle,Essence,toyota,Others,5,WW au Maroc,True,5,Excellent,4.174387269895637,90.58224707501415,14
californie,casablanca,Automatique,Hybride,toyota,corolla,5,WW au Maroc,False,6,Excellent,5.220355825078324,125.85196465490107,5
zitoune,meknès,Manuelle,Diesel,dacia,duster,5,WW au Maroc,True,6,Excellent,4.867534450455582,125.33089772032491,10
aïn chock,casablanca,Manuelle,Diesel,renault,kangoo,5,WW au Maroc,False,6,Excellent,4.31748811353631,277.55045169586293,15
toute la ville,berkane,Manuelle,Essence,suzuki,carry,5,Dédouanée,False,7,Bon,4.143134726391533,45.0593281705631,24
roches noires,casablanca,Automatique,Diesel,bmw,série 1,5,WW au Maroc,False,6,Très bon,5.19295685089021,26.548507383818404,10
hamria,meknès,Manuelle,Essence,mini,cooper,3,WW au Maroc,False,6,Excellent,4.700480365792417,47.95521524544825,11
hay essalam,el jadida,Manuelle,Diesel,renault,kadjar,5,WW au Maroc,False,6,Très bon,5.123963979403259,108.8373523618338,9
agdal,marrakech,Automatique,Diesel,mercedes-benz,220,5,Dédouanée,False,10,Excellent,5.19295685089021,114.43854721559218,12
Others,oujda,Automatique,Essence,bmw,série 5,5,WW au Maroc,True,11,Très bon,3.7612001156935624,273.5054350735646,23
ain sebaa,casablanca,Manuelle,Diesel,hyundai,ix35,5,WW au Maroc,True,8,Excellent,4.867534450455582,183.8519597164827,13
Others,tanger,Manuelle,Diesel,dacia,sandero,5,Dédouanée,True,6,Excellent,4.248495242049359,229.9961823172036,14
m'hamid,marrakech,Automatique,Diesel,jeep,renegade,5,WW au Maroc,True,6,Très bon,5.181783550292085,113.94769715598737,7
toute la ville,ain aouda,Manuelle,Essence,honda,civic,5,WW au Maroc,False,9,Bon,3.4657359027997265,327.7557601120724,27
sidi bernoussi,casablanca,Manuelle,Essence,honda,accord,5,WW au Maroc,True,11,Bon,3.4965075614664802,226.65140064622307,19
al kodia,el jadida,Automatique,Diesel,peugeot,3008,5,WW au Maroc,False,6,Neuf,5.41610040220442,102.64323051623002,5
narjis,fès,Manuelle,Essence,renault,clio,5,WW au Maroc,True,9,Bon,3.58351893845611,273.4594088290254,26
Others,bouskoura,Manuelle,Diesel,ford,kuga,5,WW au Maroc,True,8,Très bon,4.787491742782046,229.19232980795363,13
toute la ville,ksar el-kebir,Manuelle,Diesel,hyundai,tucson,5,WW au Maroc,True,8,Très bon,4.31748811353631,80.29771272148561,19
2 mars,casablanca,Manuelle,Diesel,citroen,berlingo,5,WW au Maroc,False,6,Excellent,5.342334251964811,29.797437721732848,3
ahlane,tanger,Automatique,Diesel,renault,clio,5,WW au Maroc,False,6,Très bon,4.7535901911063645,182.4426119161778,7
ain atig,temara,Manuelle,Diesel,dacia,logan,5,WW au Maroc,True,6,Excellent,4.859812404361672,96.55319489964275,3
ben m'sick,casablanca,Manuelle,Diesel,peugeot,508,5,WW au Maroc,True,8,Très bon,4.605170185988092,21.799461042967987,13
Others,settat,Manuelle,Diesel,volkswagen,passat,5,Dédouanée,False,8,Très bon,4.543294782270004,106.62680960775168,17
centre ville,nador,Manuelle,Diesel,volkswagen,touran,5,Importée neuve,True,6,Très bon,5.043425116919247,323.476099524617,12
c.i.l,casablanca,Automatique,Diesel,bmw,x1,5,WW au Maroc,False,8,Excellent,5.634789603169249,73.05398155262588,9
autre secteur,fès,Manuelle,Essence,peugeot,308,5,WW au Maroc,True,8,Excellent,4.04305126783455,195.9693129234038,17
agdal,fès,Automatique,Diesel,kia,sportage,5,WW au Maroc,True,8,Très bon,5.075173815233827,147.2646435566379,9
al fida,casablanca,Manuelle,Diesel,peugeot,208,5,WW au Maroc,True,6,Excellent,4.727387818712341,101.08390117994331,6
centre ville,temara,Manuelle,Diesel,mazda,Others,5,WW au Maroc,True,8,Correct,3.6109179126442243,31.379829341239468,18
autre secteur,safi,Manuelle,Diesel,volkswagen,golf 5,5,Dédouanée,True,8,Très bon,4.31748811353631,104.61553890709392,21
toute la ville,ben guerir,Manuelle,Diesel,peugeot,208,5,WW au Maroc,True,6,Excellent,4.499809670330265,120.50411334691547,12
centre ville,tétouan,Manuelle,Diesel,renault,clio,5,WW au Maroc,True,6,Excellent,4.727387818712341,149.88619089307318,8
bab doukkala,marrakech,Manuelle,Diesel,dacia,logan,5,WW au Maroc,True,6,Très bon,4.382026634673881,220.5679159488405,7
sidi bernoussi,casablanca,Manuelle,Diesel,dacia,logan,5,WW au Maroc,True,6,Excellent,4.0943445622221,199.38882751396383,19
hay mohammadi,agadir,Manuelle,Diesel,volkswagen,golf 5,5,WW au Maroc,True,8,Bon,4.07753744390572,270.5642304077994,20
yacoub el mansour,rabat,Manuelle,Diesel,audi,a3,5,WW au Maroc,False,8,Très bon,5.384495062789089,127.11921280413976,7
hay riad,rabat,Manuelle,Diesel,volkswagen,jetta,5,WW au Maroc,False,8,Excellent,5.19295685089021,93.9739666804338,6
achakar,tanger,Manuelle,Essence,kia,picanto,5,WW au Maroc,True,4,Excellent,4.727387818712341,31.442509517293864,3
toute la ville,deroua,Manuelle,Diesel,peugeot,partner,5,WW au Maroc,True,7,Très bon,3.8501476017100584,128.04675499002386,18
agdal,fès,Manuelle,Diesel,ford,focus,5,Dédouanée,False,6,Bon,4.442651256490317,224.4516883547727,15
wilaya,tétouan,Manuelle,Diesel,ford,focus,5,WW au Maroc,False,6,Bon,4.762173934797756,226.26349088894895,11
bir rami,kénitra,Manuelle,Diesel,renault,kangoo,5,Dédouanée,True,6,Très bon,4.356708826689592,270.02445153534086,16
hay riad,rabat,Automatique,Diesel,audi,a1,5,Dédouanée,True,6,Très bon,5.3706380281276624,92.99967443464723,8
oulfa,casablanca,Automatique,Diesel,kia,sportage,5,WW au Maroc,True,8,Bon,4.143134726391533,229.45576495428656,16
hay mohammadi,agadir,Manuelle,Essence,opel,corsa,5,WW au Maroc,True,6,Excellent,4.189654742026425,140.30663629728565,15
sidi maarouf,casablanca,Manuelle,Diesel,dacia,dokker,5,WW au Maroc,False,7,Très bon,4.3694478524670215,177.53586357470357,9
ain sebaa,casablanca,Manuelle,Essence,peugeot,Others,5,WW au Maroc,True,6,Très bon,4.382026634673881,84.0192755603629,8
Others,nador,Manuelle,Essence,volkswagen,jetta,5,Dédouanée,True,4,Bon,3.4657359027997265,35.18433475169382,34
Others,meknès,Automatique,Diesel,renault,megane,5,WW au Maroc,True,7,Excellent,5.117993812416755,105.64157335873777,8
sidi moumen,casablanca,Manuelle,Diesel,renault,clio,5,WW au Maroc,True,6,Très bon,4.605170185988092,224.74906835617136,12
castilla,tanger,Automatique,Diesel,audi,q5,5,Dédouanée,False,12,Excellent,5.393627546352362,177.90913745241204,13
autre secteur,marrakech,Automatique,Diesel,mercedes-benz,classe c,5,WW au Maroc,True,9,Très bon,4.68213122712422,325.9290548318796,16
hay mohammadi,casablanca,Manuelle,Diesel,dacia,dokker,5,WW au Maroc,False,6,Excellent,4.8283137373023015,120.87224371347207,5
sala el jadida,salé,Automatique,Hybride,toyota,c-hr,5,WW au Maroc,False,10,Très bon,5.3230051010777295,56.702283990530496,5
sidi othmane,casablanca,Manuelle,Diesel,ford,fiesta,5,Dédouanée,True,6,Très bon,4.653960350157523,25.492619980710533,7
toute la ville,taza,Manuelle,Diesel,renault,megane,3,WW au Maroc,True,6,Très bon,4.465908118654584,20.6329856708309,14
toute la ville,khénifra,Manuelle,Diesel,ford,focus,5,WW au Maroc,False,7,Excellent,4.31748811353631,186.13812712342877,15
toute la ville,khouribga,Automatique,Diesel,volkswagen,tiguan,5,Importée neuve,True,8,Excellent,5.634789603169249,15.309803445844139,6
toute la ville,béni mellal,Automatique,Diesel,volkswagen,tiguan,5,WW au Maroc,True,8,Excellent,5.41610040220442,15.687459600629317,7
toute la ville,larache,Manuelle,Essence,fiat,500,3,WW au Maroc,True,4,Excellent,4.219507705176107,120.52844054775731,16
sidi bernoussi,casablanca,Manuelle,Essence,fiat,siena,5,WW au Maroc,True,7,Excellent,3.295836866004329,373.0468482183877,27
Others,fès,Manuelle,Diesel,ford,mondeo,5,WW au Maroc,True,8,Très bon,3.8501476017100584,273.70990827089463,20
el haddada,kénitra,Manuelle,Diesel,ford,focus,5,Importée neuve,True,6,Très bon,4.820281565605037,168.4779611466876,12
Others,settat,Manuelle,Diesel,peugeot,208,5,WW au Maroc,False,6,Très bon,4.718498871295094,2.011429829242711,8
el haouzia,kénitra,Manuelle,Diesel,ford,focus,5,Importée neuve,True,6,Très bon,4.820281565605037,164.61168829313544,12
cité adrar,agadir,Manuelle,Diesel,mercedes-benz,classe c,5,Dédouanée,True,10,Très bon,4.007333185232471,271.97485456384214,28
aïn borja,casablanca,Manuelle,Diesel,dacia,logan,5,WW au Maroc,False,6,Excellent,4.174356500191485,83.9983930990937,8
marjane 2,meknès,Automatique,Diesel,peugeot,3008,5,WW au Maroc,False,8,Excellent,5.480638923341991,133.48224104653252,7
toute la ville,khemisset,Manuelle,Diesel,renault,fluence,3,Dédouanée,False,7,Excellent,4.700480365792417,115.75014959358091,13
Others,el jadida,Manuelle,Diesel,volkswagen,polo,5,WW au Maroc,True,8,Excellent,3.6888794541139363,179.58243864601653,24
autre secteur,kénitra,Manuelle,Diesel,nissan,qashqai,3,Dédouanée,False,7,Excellent,5.0689042022202315,30.72220552465827,7
toute la ville,berrechid,Manuelle,Diesel,hyundai,accent,5,WW au Maroc,False,6,Excellent,3.970291913552122,322.8711931724682,16
belvédère,casablanca,Automatique,Diesel,volkswagen,passat cc,5,Dédouanée,True,8,Très bon,4.941642422609304,21.48401296505581,14
toute la ville,sefrou,Manuelle,Diesel,renault,kangoo,5,WW au Maroc,False,7,Très bon,4.248495242049359,30.040280799430494,18
ouled oujih,kénitra,Manuelle,Diesel,ford,focus,5,Importée neuve,True,7,Très bon,4.23410650459726,222.93785487693768,18
azib derai,safi,Manuelle,Diesel,audi,Others,5,Dédouanée,True,6,Très bon,3.4011973816621555,427.1337594369286,34
al fida,casablanca,Manuelle,Diesel,renault,megane,5,WW au Maroc,False,6,Excellent,5.438079308923196,13.16874672018658,3
ain mezouar,marrakech,Manuelle,Essence,hyundai,accent,5,WW au Maroc,True,9,Bon,3.258096538021482,143.5874110713389,26
Others,tétouan,Automatique,Diesel,jeep,renegade,5,WW au Maroc,True,6,Excellent,5.438079308923196,77.23655575163352,6
toute la ville,Others,Manuelle,Diesel,ford,mondeo,5,WW au Maroc,True,7,Bon,2.995732273553991,116.11979651095375,26
marjane 2,meknès,Automatique,Diesel,peugeot,3008,5,WW au Maroc,False,8,Excellent,5.480638923341991,138.40513699670444,7
el haddada,kénitra,Manuelle,Diesel,peugeot,208,5,WW au Maroc,False,5,Très bon,5.0106352940962555,66.48072745675115,5
toute la ville,jorf el melha,Manuelle,Diesel,ford,focus,5,WW au Maroc,False,6,Très bon,4.90527477843843,185.0245901158546,10
Others,meknès,Manuelle,Diesel,dacia,dokker,5,WW au Maroc,True,6,Excellent,4.762173934797756,96.22547528832706,6
ancienne médina,marrakech,Manuelle,Essence,fiat,Others,3,Dédouanée,False,11,Très bon,2.995732273553991,92.79333690284656,25
el haddada,kénitra,Manuelle,Diesel,peugeot,208,5,WW au Maroc,False,5,Très bon,5.003946305945459,72.19066677193081,5
al fida,casablanca,Manuelle,Essence,suzuki,grand vitara,3,Dédouanée,True,9,Très bon,4.356708826689592,160.13912659165604,13
centre,fès,Automatique,Diesel,bmw,x3,5,WW au Maroc,True,11,Excellent,4.356708826689592,276.39866207259587,15
hay al hassani,marrakech,Manuelle,Diesel,fiat,Others,5,WW au Maroc,True,8,Excellent,4.219507705176107,21.74084760382977,15
toute la ville,guercif,Manuelle,Diesel,audi,a3,5,Dédouanée,True,8,Excellent,4.74493212836325,22.375089411154157,16
toute la ville,ain harrouda,Manuelle,Diesel,renault,megane,5,Dédouanée,True,7,Bon,3.624340932976365,221.2084832915019,29
toute la ville,nouaceur,Manuelle,Diesel,dacia,duster,5,WW au Maroc,True,6,Très bon,4.605170185988092,146.60523704316753,13
Others,tétouan,Manuelle,Diesel,fiat,fiorino,5,WW au Maroc,True,5,Très bon,4.727387818712341,117.09503549312174,3
route d'immouzere,fès,Manuelle,Diesel,ford,mondeo,5,WW au Maroc,False,4,Très bon,3.6888794541139363,30.58622616409514,21
centre,kénitra,Manuelle,Diesel,peugeot,508,5,WW au Maroc,False,8,Très bon,5.075173815233827,62.21861014856921,6
al azhar,tétouan,Manuelle,Diesel,fiat,500,3,WW au Maroc,False,6,Très bon,4.276666119016055,186.2323300200831,14
hassan,rabat,Manuelle,Diesel,peugeot,3008,5,Pas encore dédouanée,False,6,Excellent,5.393627546352362,190.01333254460948,7
centre ville,tanger,Manuelle,Diesel,seat,leon,5,WW au Maroc,False,8,Excellent,5.3471075307174685,103.00251442978964,6
agdal,rabat,Manuelle,Diesel,peugeot,3008,5,Pas encore dédouanée,False,6,Excellent,5.393627546352362,196.88130283663256,7
bournazil,casablanca,Manuelle,Diesel,dacia,logan,5,WW au Maroc,True,6,Neuf,4.718498871295094,115.86474122987292,6
toute la ville,agadir melloul,Manuelle,Diesel,fiat,fiorino,5,WW au Maroc,False,6,Très bon,4.867534450455582,75.63975676205037,5
centre ville,casablanca,Manuelle,Diesel,skoda,Others,5,WW au Maroc,False,6,Excellent,5.247024072160486,18.687150471065472,4
tilila,agadir,Automatique,Diesel,audi,a4,5,WW au Maroc,True,8,Très bon,4.290459441148391,329.8133756829294,18
centre ville,nador,Automatique,Diesel,hyundai,ix35,5,Dédouanée,False,8,Neuf,5.043425116919247,6.08057456803674,10
sidi moussa,salé,Manuelle,Diesel,seat,cordoba,5,WW au Maroc,True,8,Très bon,3.6888794541139363,25.296416929973617,25
Others,salé,Manuelle,Essence,toyota,corolla,5,WW au Maroc,True,7,Bon,3.1354942159291497,134.53523608738814,25
aharrarine,tanger,Automatique,Diesel,mercedes-benz,classe a,5,WW au Maroc,False,8,Excellent,5.634789603169249,27.113823939805624,7
centre ville,nador,Automatique,Diesel,audi,a1,5,WW au Maroc,True,7,Excellent,5.247024072160486,79.8966670620174,7
Others,tanger,Automatique,Diesel,volkswagen,golf 7,5,WW au Maroc,False,8,Excellent,5.438079308923196,119.42000546062748,6
Others,marrakech,Automatique,Diesel,renault,clio,5,WW au Maroc,True,6,Très bon,4.74493212836325,84.39691119408985,8
bourgogne,casablanca,Automatique,Diesel,land rover,range rover sport,5,WW au Maroc,False,9,Très bon,5.703782474656201,100.18463239344844,9
oulfa,casablanca,Manuelle,Diesel,renault,express,3,WW au Maroc,False,6,Bon,3.7612001156935624,24.715197487892713,26
beauséjour,casablanca,Automatique,Diesel,land rover,range rover sport,5,WW au Maroc,True,12,Très bon,5.043425116919247,177.7222129815851,13
agdal,marrakech,Automatique,Diesel,land rover,range rover sport,5,WW au Maroc,True,12,Excellent,4.248495242049359,222.3000624814338,20
